id,filename,title,promoting,colour,process,year,designer,
GDA_Exhibitions_A1_1-0002,GDA_Exhibitions_A1_1-0002.jpg,Still there will be Stories,Exhibition,Red,Offset,1994,Sara Fanelli,
GDA_Exhibitions_A1_1-0003,GDA_Exhibitions_A1_1-0003.jpg,Towards Art?,Exhibition,White,Screenprint,1962,David Hockney,
GDA_Exhibitions_A1_1-0004,GDA_Exhibitions_A1_1-0004.jpg,RCA 1948–1953 Coronation Year Exhibition,Exhibition,Red,Screenprint,1953,,
GDA_Exhibitions_A1_1-0005,GDA_Exhibitions_A1_1-0005.jpg,Folio Society Illustration Awards,Exhibition,White,Offset,2000,,
GDA_Exhibitions_A1_1-0006,GDA_Exhibitions_A1_1-0006.jpg,Paintings and Sculpture by of the RCA and Slade Schools,Exhibition,White,Screenprint,,,
GDA_Exhibitions_A1_1-0007,GDA_Exhibitions_A1_1-0007.jpg,Graphic Design Diploma Exhibition,Exhibition,White,Offset,1963,,
GDA_Exhibitions_A1_1-0008,GDA_Exhibitions_A1_1-0008.jpg,Young Contemporaries,Exhibition,Blue,Screenprint,1969,,
GDA_Exhibitions_A1_1-0011,GDA_Exhibitions_A1_1-0011.jpg,Young Contemporaries,Exhibition,Green,Offset,1969,,
GDA_Exhibitions_A1_1-0012,GDA_Exhibitions_A1_1-0012.jpg,Graphic Design Diploma Exhibition,Exhibition,Red,Offset,1961,,
GDA_Exhibitions_A1_1-0013,GDA_Exhibitions_A1_1-0013.jpg,7 Painters 7 Printmakers,Exhibition,Red,Offset,,,
GDA_Exhibitions_A1_1-0014,GDA_Exhibitions_A1_1-0014.jpg,Fine Art for Industry,Exhibition,Blue,Screenprint,,,
GDA_Exhibitions_A1_1-0015,GDA_Exhibitions_A1_1-0015.jpg,Rosenthal Studio,Exhibition,Black,Screenprint,,,
GDA_Exhibitions_A1_1-0016,GDA_Exhibitions_A1_1-0016.jpg,RCA Degree Show,Exhibition,White,Offset,1974,,
GDA_Exhibitions_A1_1-0017,GDA_Exhibitions_A1_1-0017.jpg,Painting Sculpture Environmental Media ,Exhibition,Yellow,,,,
GDA_Exhibitions_A1_1-0018,GDA_Exhibitions_A1_1-0018.jpg,Five Painters Five Printmakers,Exhibition,Red,Offset,,,
GDA_Exhibitions_A1_1-0019,GDA_Exhibitions_A1_1-0019.jpg,RCA Galleries,Exhibition,White,Offset,,,
GDA_Exhibitions_A1_1-0020,GDA_Exhibitions_A1_1-0020.jpg,Pictures for Schools Exhibition,Exhibition,Blue,Screenprint,1963,,
GDA_Exhibitions_A1_1-0021,GDA_Exhibitions_A1_1-0021.jpg,Shakespeare Lithographs,Exhibition,Orange,Offset,1964,,
GDA_Exhibitions_A1_1-0022,GDA_Exhibitions_A1_1-0022.jpg,Gerard Titus-Carmel,Exhibition,White,Screenprint,,,
GDA_Exhibitions_A1_1-0023,GDA_Exhibitions_A1_1-0023.jpg,Young Contemporaries,Exhibition,White,Screenprint,1962,Barrie Bates,
GDA_Exhibitions_A1_1-0024,GDA_Exhibitions_A1_1-0024.jpg,Why are the 2nd year Painters,Exhibition,Blue,Screenprint,1969,,
