id,filename,promoting,colour,process,year,designer,orientation
,1.jpg,RCA Film Society,Orange,Letterpress,,,Landscape
,2.jpg,RCA Film Society,White,Screenprint,,,Landscape
,3.jpg,Lecture,Black,Screenprint,,Phillippe Pham,Portrait
,4.jpg,RCA Film Society,Green,Screenprint,,,Landscape
,5.jpg,RCA Film Society,Yellow,Screenprint,,,Landscape
,6.jpg,Lecture,Red,Offset,1990,,Portrait
,7.jpg,Exhibition,Black,Screenprint,,,Landscape
,8.jpg,Lecture,Black,Screenprint,1961,,Portrait
,9.jpg,Lecture,Orange,Offset,1991,,Portrait
,10.jpg,Lecture,Red,Screenprint,1961,,Portrait
,11.jpg,Lecture,White,Screenprint,,,Portrait
,12.jpg,Lecture,Black,Screenprint,1989,Peter B.Willberg,Portrait
,13.jpg,Lecture,White,Offset,1991,,Landscape
,14.jpg,Exhibition,White,Linocut,,,Portrait
,15.jpg,Exhibition,White,Offset,1989,,Portrait
,16.jpg,Exhibition,White,Letterpress,1999,Henrik Kubel,Portrait
,17.jpg,Lecture,Green,Offset,1991,Elizabeth Lingaard,Landscape
,18.jpg,Lecture,MultiColoured,Offset,1989,Jason Godfrey,Portrait
,19.jpg,Lecture,MultiColoured,Offset,1989,Jason Godfrey,Portrait
,20.jpg,Lecture,Yellow,Screenprint,,,Portrait
,21.jpg,Exhibition,Red,Screenprint,1958,,Portrait
,22.jpg,Lecture,White,Screenprint,1968,,Portrait
,23.jpg,Lecture,Image,Offset,1993,,Portrait
,24.jpg,Lecture,Green,Offset,,,Portrait
,25.jpg,Exhibition,Purple,Letterpress,1998,Henrik Kubel,Portrait
,26.jpg,Lecture,White,Offset,1992,Peter Hale,Portrait
,27.jpg,Lecture,White,Screenprint,1992,,Portrait
,29.jpg,Lecture,White,Screenprint,,,Landscape
,30.jpg,Exhibition,White,Screenprint,,,Portrait
,31.jpg,Lecture,Pink,Offset,,,Portrait
,32.jpg,Lecture,Blue,Offset,,,Portrait
,33.jpg,Lecture,MultiColoured,Screenprint,,,Square
,34.jpg,Lecture,White,Screenprint,1988,Clare Manchester,Portrait
,35.jpg,Lecture,MultiColoured,Offset,1995,Kam k. Tang / Johnny D Richards,Landscape
,36.jpg,Lecture,Red,Screenprint,,,Portrait
,37.jpg,Lecture,White,Letterpress,,,Portrait
,38.jpg,Lecture,Purple,Screenprint,,,Landscape
,39.jpg,Lecture,White,Offset,,,Portrait
,40.jpg,Exhibition,White,Screenprint,2000,College Wide Workshop,Portrait
,41.jpg,Lecture,Pink,Screenprint,1999,,Portrait
,42.jpg,Lecture,White,Offset,1992,,Landscape
,43.jpg,Lecture,Blue,Screenprint,1953,,Portrait
,44.jpg,Lecture,White,Offset,,,Portrait
,45.jpg,Lecture,Blue,Screenprint,,,Portrait
,46.jpg,Lecture,White,Offset,,,Landscape
,47.jpg,Lecture,Blue,Screenprint,,,Portrait
,48.jpg,Lecture,White,Letterpress,1922,,Portrait
,49.jpg,Lecture,Red,Screenprint,,,Portrait
,50.jpg,Lecture,Black,Screenprint,,,Landscape
,51.jpg,Exhibition,Black,Offset,,,Portrait
,52.jpg,Lecture,Yellow,Offset,,,Landscape
,53.jpg,Lecture,MultiColoured,Screenprint,,,Portrait
,54.jpg,Lecture,Yellow,Screenprint,,,Portrait
,55.jpg,RCA Film Society,White,Offset,,,Portrait
,56.jpg,Lecture,Blue,Screenprint,,,Portrait
,57.jpg,Lecture,Red,Screenprint,1954,,Portrait
,58.jpg,Lecture,Blue,Unknown,,,Portrait
,59.jpg,Exhibition,White,Letterpress,,,Portrait
,60.jpg,Exhibition,White,Screenprint,,,Portrait
,61.jpg,Exhibition,White,Unknown,1982,,Portrait
,62.jpg,Exhibition,Green,Unknown,,,Portrait
,63.jpg,RCA Film Society,Red,Offset,,,Portrait
,64.jpg,Exhibition,White,Offset,1991,,Portrait
,65.jpg,Exhibition,White,Unknown,2008,,Portrait
,66.jpg,Exhibition,Pink,Unknown,,,Portrait
,67.jpg,Lecture,Yellow,Unknown,1981,,Portrait
,68.jpg,Lecture,MultiColoured,Unknown,1970,,Portrait
,69.jpg,Lecture,White,Unknown,1972,,Portrait
,70.jpg,Lecture,MultiColoured,Screenprint,,,Portrait
,71.jpg,Lecture,Blue,Offset,1993,,Portrait
,72.jpg,Lecture,Blue,Risograph,2016,Joana Pastana,Portrait
,73.jpg,RCA Film Society,Black,Screenprint,1961,John Fenton Brown,Portrait
,74.jpg,RCA Film Society,Black,Unknown,,,Portrait
,75.jpg,RCA Film Society,Red,Unknown,,,Portrait
,76.jpg,RCA Film Society,Green,Screenprint,,,Portrait
,77.jpg,RCA Film Society,White,Screenprint,,,Landscape
,78.jpg,Lecture,Red,Screenprint,1969,,Portrait
